Title,Start,End,Description,Web Page,Media,Media Caption,Media Credit,Tags,Place,Location,Source,Source URL
Battle of Bita Paka,1914-09-11,,"The Battle of Bita Paka (11 September 1914) was fought south of Kabakaul, on the island of New Britain, and was a part of the invasion and subsequent occupation of German New Guinea by the Australian Naval and Military Expeditionary Force shortly after the outbreak of the First World War.",,,,,,,"-4.41667,152.317",,
Battle of Fromelles,1916-07-20,,"The Battle of Fromelles occurred in France between 19 and 20 July 1916, during World War I. The action was intended partly as a diversion from the Battle of the Somme that was taking place about 80 kilometres to the south. The operation, carried out midway between the British-occupied village of Fleurbaix and that of Fromelles behind the German lines, sought to retake a salient just north of the latter, situated at about 16 kilometres from the city of Lille.",,,,,,,"50.6063,2.85469",,
Battle of Kakamas,1915-02-04,,"The battle of Kakamas took place in Kakamas, Northern Cape Province of South Africa on 4 February 1915. It was a skirmish for control of two river fords over the Orange River between contingents of a German invasion force and South African armed forces. The South Africans succeed in preventing the Germans gaining control of the fords and crossing the river.",,,,,,,"-28.8,20.65",,
Battle of Kakamas,1915-02-04,,"The battle of Kakamas took place in Kakamas, Northern Cape Province of South Africa on 4 February 1915. It was a skirmish for control of two river fords over the Orange River between contingents of a German invasion force and South African armed forces. The South Africans succeed in preventing the Germans gaining control of the fords and crossing the river.",,,,,,,"-28.8,20.65",,
Battle of Kakamas,1915-02-04,,"The battle of Kakamas took place in Kakamas, Northern Cape Province of South Africa on 4 February 1915. It was a skirmish for control of two river fords over the Orange River between contingents of a German invasion force and South African armed forces. The South Africans succeed in preventing the Germans gaining control of the fords and crossing the river.",,,,,,,"-28.8,20.65",,
Battle of Kilimanjaro,1914-11-03,,The Battle of Kilimanjaro at Longido took place in German East Africa in November 1914 and was an early skirmish during the East African Campaign of the First World War.,,,,,,,"-3.07583,37.3533",,
Battle of Liège,1914-08-16,,"The Battle of Liège was the opening engagement of the German invasion of Belgium, and the first battle of World War I. The attack on the city began on 5 August 1914 and lasted until the 16th when the last Belgian fort finally surrendered. The invasion of Belgium was the event that triggered the United Kingdom's entry into the war; the unexpected vigor of the city's defense allowed more time for the western Allies to organize and prepare their defense of France.",,,,,,,"50.6406,5.5721",,
Battle of Liège,1914-08-16,,"The Battle of Liège was the opening engagement of the German invasion of Belgium, and the first battle of World War I. The attack on the city began on 5 August 1914 and lasted until the 16th when the last Belgian fort finally surrendered. The invasion of Belgium was the event that triggered the United Kingdom's entry into the war; the unexpected vigor of the city's defense allowed more time for the western Allies to organize and prepare their defense of France.",,,,,,,"50.6406,5.5721",,
Battle of Mahiwa,1917-10-18,,"The Battle of Mahiwa fought between German and British Imperial forces was a battle of the East African Campaign of World War I. The battle began when South African and Nigerian troops under Lieutenant General Jacob van Deventer engaged a column of German forces under the command of General Paul Emil von Lettow-Vorbeck at Mahiwa in German East Africa. The Germans were able to inflict massive casualties upon van Deventer's army, forcing it to withdraw.",,,,,,,"-10.35,39.2667",,
Battle of Mons,1914-08-23,,"The Battle of Mons was the first major action of the British Expeditionary Force (BEF) in the First World War. It was a subsidiary action of the Battle of the Frontiers, in which the Allies clashed with Germany on the French borders. At Mons, the British army attempted to hold the line of the Mons-Condé Canal against the advancing German First Army.",,,,,,,"50.45,3.95",,
Battle of Ngomano,1917-11-25,,The Battle of Ngomano was fought between the German Empire and Portugal during the East African Campaign of World War I. A force of Germans and Askaris under Paul Emil von Lettow-Vorbeck had just won a costly victory against the British at the Battle of Mahiwa and were running critically low on supplies. To remedy the problem the Germans invaded Portuguese East Africa in an attempt to escape superior British forces to the north and resupply from captured Portuguese materiel.,,,,,,,"-11.4283,38.4936",,
Battle of Otavi,1915-07-01,,"The Battle of Otavi fought between the militaries of the Union of South Africa and German Southwest Africa on 1 July, 1915 was the final battle of the South-West Africa Campaign of World War I. The battle, fought between Otavi mountain and Otavifontein, was a delaying action led by the German Major Hermann Ritter. Ritter's forces intended to buy the main German force at Tsombe several days so as they could harden their positions there.",,,,,,,"-19.65,17.3333",,
Battle of Otavi,1915-07-01,,"The Battle of Otavi fought between the militaries of the Union of South Africa and German Southwest Africa on 1 July, 1915 was the final battle of the South-West Africa Campaign of World War I. The battle, fought between Otavi mountain and Otavifontein, was a delaying action led by the German Major Hermann Ritter. Ritter's forces intended to buy the main German force at Tsombe several days so as they could harden their positions there.",,,,,,,"-19.65,17.3333",,
Battle of Otavi,1915-07-01,,"The Battle of Otavi fought between the militaries of the Union of South Africa and German Southwest Africa on 1 July, 1915 was the final battle of the South-West Africa Campaign of World War I. The battle, fought between Otavi mountain and Otavifontein, was a delaying action led by the German Major Hermann Ritter. Ritter's forces intended to buy the main German force at Tsombe several days so as they could harden their positions there.",,,,,,,"-19.65,17.3333",,
Battle of Poelcappelle,1917-10-09,,"The Battle of Poelcappelle (9 October 1917) marked the end of the string of highly successful British attacks in late September and early October 1917, during the Third Battle of Ypres. Only the supporting attack in the north achieved a substantial advance. On the main front the German defences withstood the limited amount of artillery fire achieved by the British after the attack of 4 October.",,,,,,,"50.922,2.963",,
Battle of Pozières,1916-08-07,,"The Battle of Pozières was a two week struggle for the French village of Pozières and the ridge on which it stands, during the middle stages of the 1916 Battle of the Somme. Though British divisions were involved in most phases of the fighting, Pozières is primarily remembered as an Australian battle. The fighting ended with the Allied forces in possession of the plateau north and east of the village, and in a position to menace the German bastion of Thiepval from the rear.",,,,,,,"50.0167,2.8",,
Battle of Thiepval Ridge,1916-09-28,,The Battle of Thiepval Ridge was the first large offensive mounted by the Reserve Army of Lieutenant General Hubert Gough during the Battle of the Somme and was intended to benefit from the Fourth Army attack at Morval by starting 24 hours afterwards.,,,,,,,"50.0545,2.68839",,
Battle of Trekkopjes,1915-04-26,,"The Battle of Trekkopjes on 26 April 1915 was a German assault on the South African held town of Trekkopjes during the South-West Africa Campaign of World War I. The South African Major Skinner had been ordered to defend Trekkopjes, and came into contact with a German column advancing on that town. Skinner withdrew back into Trekkopjes and dug in his forces. The German attack was repulsed with the help of armoured cars, leaving the South Africans victorious.",,,,,,,"-22.293,15.103",,
Battle of Trekkopjes,1915-04-26,,"The Battle of Trekkopjes on 26 April 1915 was a German assault on the South African held town of Trekkopjes during the South-West Africa Campaign of World War I. The South African Major Skinner had been ordered to defend Trekkopjes, and came into contact with a German column advancing on that town. Skinner withdrew back into Trekkopjes and dug in his forces. The German attack was repulsed with the help of armoured cars, leaving the South Africans victorious.",,,,,,,"-22.293,15.103",,
Battle of Trekkopjes,1915-04-26,,"The Battle of Trekkopjes on 26 April 1915 was a German assault on the South African held town of Trekkopjes during the South-West Africa Campaign of World War I. The South African Major Skinner had been ordered to defend Trekkopjes, and came into contact with a German column advancing on that town. Skinner withdrew back into Trekkopjes and dug in his forces. The German attack was repulsed with the help of armoured cars, leaving the South Africans victorious.",,,,,,,"-22.293,15.103",,
Battle of Vimy Ridge,1917-04-12,,"The Battle of Vimy Ridge was a military engagement fought primarily as part of the Battle of Arras, in the Nord-Pas-de-Calais region of France, during the First World War. The main combatants were the Canadian Corps, of four divisions, against three divisions of the German Sixth Army. The battle, which took place from 9 to 12 April 1917, was part of the opening phase of the British-led Battle of Arras, a diversionary attack for the French Nivelle Offensive.",,,,,,,"50.379,2.774",,
Battle of Vimy Ridge,1917-04-12,,"The Battle of Vimy Ridge was a military engagement fought primarily as part of the Battle of Arras, in the Nord-Pas-de-Calais region of France, during the First World War. The main combatants were the Canadian Corps, of four divisions, against three divisions of the German Sixth Army. The battle, which took place from 9 to 12 April 1917, was part of the opening phase of the British-led Battle of Arras, a diversionary attack for the French Nivelle Offensive.",,,,,,,"50.379,2.774",,
Battle of the Ancre,1916-11-18,,"The Battle of the Ancre 13–18 November, was the final large British attack of the Battle of the Somme in 1916, before the winter weather forced a pause in British attacks until the new year. It was fought by the Fifth Army, under the command of Lieutenant General Hubert Gough, against the German First Army under General von Below. The intent of the British attack was to fulfill complementary objectives.",,,,,,,"50.0667,2.7",,
Battle of the Sambre (1918),1918-11-04,,"The Second Battle of the Sambre (November 4, 1918) (which included the Second Battle of Guise and the Battle of Thiérache) was part of the final European Allied offensives of World War I.",,,,,,,"50.4667,4.86667",,
First Battle of Passchendaele,1917-10-12,,"The First Battle of Passchendaele took place on 12 October 1917 in the Ypres Salient area of the Western Front, west of Passchendaele village, during the Third Battle of Ypres in World War I. The Allied plan to capture Passchendaele village was based on inaccurate information about the result of the previous attack of 9 October, as the period of rainy weather continued. The attack took ground in the north but early gains around Passchendaele were mostly lost to German counter-attacks.",,,,,,,"50.9003,3.02111",,
Flămânda Offensive,1916-09-29,,"The Flămânda Offensive (or Flămânda Maneuver, which took place between 29 September and 5 October 1916, was an offensive across the Danube mounted by the Romanian 2nd Army during World War I. The battle represented a consistent effort by the Romanian Army to stop the Central Powers south offensive led by August von Mackensen. The battle ended as a tactical victory for the Central Powers.",,,,,,,"43.9875,26.245",,
Flămânda Offensive,1916-10-05,,"The Flămânda Offensive (or Flămânda Maneuver, which took place between 29 September and 5 October 1916, was an offensive across the Danube mounted by the Romanian 2nd Army during World War I. The battle represented a consistent effort by the Romanian Army to stop the Central Powers south offensive led by August von Mackensen. The battle ended as a tactical victory for the Central Powers.",,,,,,,"43.9875,26.245",,
Battle of Verdun,1916-12-18,,"The Battle of Verdun was one of the major battles during the First World War on the Western Front. It was fought between the German and French armies, from 21 February to 18 December 1916, on hilly terrain north of the city of Verdun-sur-Meuse in north-eastern France. It ended with a French tactical victory since, by December 1916, they had recaptured most of the lost ground including the centerpiece of Verdun's defensive system: Fort Douaumont.",,,,,,,"49.208,5.422",,
Battle of Bukoba,1915-06-23,,"The Battle of Bukoba was the first victory for Entente forces in German East Africa, coming after the disastrous battles of Tanga and Jassin. The British objective was the destruction of the Bukoba wireless station. Due to Bukoba's location on the shore of Lake Victoria, it was decided that the raid should take the form of an amphibious assault.",,,,,,,"-1.33333,31.8167",,
Battle of Delville Wood,1916-09-15,,"The Battle of Delville Wood 14 July—3 September, was an engagement in the 1916 Battle of the Somme in the First World War. It took place between the armies of the German Empire and allied British and empire forces. Delville Wood is to the north east of the town of Longueval in the département of the Somme in northern France.",,,,,,,"50.0278,2.8099",,
Battle of Guillemont,1916-09-06,,"The Battle of Guillemont was a British assault on the German-held village of Guillemont during the 1916 Battle of the Somme. Guillemont lay on the right flank of the British sector where it linked with French forces and by holding it, the Germans prevented the Allied armies from operating in unison. Guillemont came in range of British forces following the Battle of Bazentin Ridge on 14 July and it was subjected to a number of costly attacks in late July and August.",,,,,,,"50.0138,2.82444",,
Battle of Kisaki,1916-09-11,,"The Battle of Kisaki was a confrontation between German and South Africa forces near the town of Kisaki, German East Africa, on 7–8 September 1916.",,,,,,,"-7.48611,37.6014",,
Battle of Kondoa Irangi,1916-05-10,,"The Battle of Kondoa Irangi was a battle of the East African Campaign of World War I. Following successes at the battles of Latema Nek and Kahe, Entente forces under the overall command of General Jan Smuts continued their advance southwards into German East Africa. By April 17, 1916, General Van Deventer's 2nd Division had reached the vicinity of the town of Kondoa Irangi - where they made contact with a unit of German Schutztruppe.",,,,,,,"-4.90361,35.7767",,
Battle of Kondoa Irangi,1916-05-10,,"The Battle of Kondoa Irangi was a battle of the East African Campaign of World War I. Following successes at the battles of Latema Nek and Kahe, Entente forces under the overall command of General Jan Smuts continued their advance southwards into German East Africa. By April 17, 1916, General Van Deventer's 2nd Division had reached the vicinity of the town of Kondoa Irangi - where they made contact with a unit of German Schutztruppe.",,,,,,,"-4.90361,35.7767",,
Battle of Arras (1917),1917-05-16,,"Battle of Arras Part of the Western Front of the First World War 300pxThe Town Square, Arras, France. February, 1919.",,,,,,,"50.2897,2.78083",,
Battle of Bakhmach,1918-03-08,,"Battle of Bakhmach (Bitva u Bachmače in Czech), was a battle between the Czechoslovak Legion in Russia and German forces occupying Ukraine. The battle lasted from March 8 to March 13, 1918 over the city of Bakhmach (Бахмач), today in Ukraine. The Legion managed to escape the encirclement. On March 3, 1918 Russia, controlled by the Bolsheviks, signed the Brest-Litovsk peace treaty with Germany in which it gave up, among others, control over Ukraine.",,,,,,,"51.1828,32.8272",,
Battle of Belleau Wood,1918-06-26,,"The Battle of Belleau Wood (1–26 June 1918) occurred during the German 1918 Spring Offensive in World War I, near the Marne River in France. The battle was fought between the U.S. Second (under the command of Major General Omar Bundy) and Third Divisions and an assortment of German units including elements from the 237th, 10th, 197th, 87th, and 28th Divisions. The battle has become a deep part of the lore of the United States Marine Corps.",,,,,,,"49.073,3.29",,
Second Battle of Ypres,1915-05-25,,"The Second Battle of Ypres was a First World War battle fought for control of the strategic Flemish town of Ypres in western Belgium in the spring of 1915, following the First Battle of Ypres the previous autumn. It marked the first time that Germany used poison gas on a large scale on the Western Front. Additionally, the battle was the first time that a former colonial force defeated a major European power on European soil, in the Battle of St. Julien-Kitcheners' Wood.",,,,,,,"50.891,2.979",,
Battle of Tannenberg,1914-08-30,,"The Battle of Tannenberg was an engagement between the Russian Empire and the German Empire in the first days of World War I. It was fought by the Russian Second Army against the German Eighth Army between 26 August and 30 August 1914. The battle resulted in the almost complete destruction of the Russian Second Army. A series of follow-up battles destroyed the majority of the First Army as well, and kept the Russians off-balance until the spring of 1915.",,,,,,,"53.4958,20.1344",,
Battle of Tannenberg,1914-08-30,,"The Battle of Tannenberg was an engagement between the Russian Empire and the German Empire in the first days of World War I. It was fought by the Russian Second Army against the German Eighth Army between 26 August and 30 August 1914. The battle resulted in the almost complete destruction of the Russian Second Army. A series of follow-up battles destroyed the majority of the First Army as well, and kept the Russians off-balance until the spring of 1915.",,,,,,,"53.4958,20.1344",,
Battle of Tannenberg,1914-08-30,,"The Battle of Tannenberg was an engagement between the Russian Empire and the German Empire in the first days of World War I. It was fought by the Russian Second Army against the German Eighth Army between 26 August and 30 August 1914. The battle resulted in the almost complete destruction of the Russian Second Army. A series of follow-up battles destroyed the majority of the First Army as well, and kept the Russians off-balance until the spring of 1915.",,,,,,,"53.4958,20.1344",,
Battle of Tannenberg,1914-08-30,,"The Battle of Tannenberg was an engagement between the Russian Empire and the German Empire in the first days of World War I. It was fought by the Russian Second Army against the German Eighth Army between 26 August and 30 August 1914. The battle resulted in the almost complete destruction of the Russian Second Army. A series of follow-up battles destroyed the majority of the First Army as well, and kept the Russians off-balance until the spring of 1915.",,,,,,,"53.4958,20.1344",,
Battle of Behobeho,1917-01-03,,The Battle of Behobeho was fought during the East African Campaign of World War I.,,,,,,,"-7.63333,37.8833",,
Battle of Cantigny,1918-05-28,,"The Battle of Cantigny, fought on 28 May 1918 was the first American offensive of World War I. The U.S. 1st Division, the most experienced of the seven American divisions then in France and in reserve for the French Army near the village of Cantigny, was selected for the attack.",,,,,,,"49.664,2.491",,
Battle of Hill 70,1917-08-25,,"The Battle of Hill 70 was a localized battle of World War I between the Canadian Corps and five divisions of the German Sixth Army. The battle took place along the Western Front on the outskirts of Lens in the Nord-Pas-de-Calais region of France between 15 August 1917 and 25 August 1917. The primary objective of the assault was to inflict casualties and draw German troops away from the 3rd Battle of Ypres, rather than to capture territory.",,,,,,,"50.4556,2.81903",,
Battle of Morval,1916-09-28,,"The Battle of Morval, 25–28 September 1916, was an attack during the Battle of the Somme by the British Fourth Army on the villages of Morval, Gueudecourt and Lesboeufs held by the German 1st Army, which had been the final objectives of the Battle of Flers-Courcelette (15–22 September).",,,,,,,"50.0316,2.8424",,
Battle of Polygon Wood,1917-09-27,,"The Battle of Polygon Wood took place during the second phase of the Third battle of Ypres in World War I and was fought near Ypres in Belgium 26 September – 3 October 1917, in the area from the Menin Road to Polygon Wood and thence north, to the area beyond St. Julien. Much of the woodland had been destroyed by the huge quantity of shellfire from both sides since 16 July and the area had changed hands several times.",,,,,,,"50.8519,2.98528",,
Battle of Polygon Wood,1917-09-27,,"The Battle of Polygon Wood took place during the second phase of the Third battle of Ypres in World War I and was fought near Ypres in Belgium 26 September – 3 October 1917, in the area from the Menin Road to Polygon Wood and thence north, to the area beyond St. Julien. Much of the woodland had been destroyed by the huge quantity of shellfire from both sides since 16 July and the area had changed hands several times.",,,,,,,"50.8519,2.98528",,
Second Battle of Passchendaele,1917-11-10,,"The Second Battle of Passchendaele was the culminating attack during the Third Battle of Ypres of the First World War. The battle took place in the Ypres Salient area of the Western Front, in and around the Belgian town of Passchendaele, between 26 October 1917 and 10 November 1917. The Canadian Corps relieved the exhausted II Anzac Corps, continuing the advance started with the First Battle of Passchendaele and ultimately capturing Passchendaele village.",,,,,,,"50.9003,3.02111",,
Second Battle of Passchendaele,1917-11-10,,"The Second Battle of Passchendaele was the culminating attack during the Third Battle of Ypres of the First World War. The battle took place in the Ypres Salient area of the Western Front, in and around the Belgian town of Passchendaele, between 26 October 1917 and 10 November 1917. The Canadian Corps relieved the exhausted II Anzac Corps, continuing the advance started with the First Battle of Passchendaele and ultimately capturing Passchendaele village.",,,,,,,"50.9003,3.02111",,
Battle of Ginchy,1916-09-09,,"The Battle of Ginchy took place on 9 September 1916 during the Battle of the Somme when the 16th Division captured the German-held village of Ginchy. The Irish Royal Munster Fusiliers suffered heavy casualties in the process. Indeed of the two attacking brigades, the 47th Brigade (8th Battalion) failed completely, encountering enemy defences unaffected by the British bombardment whose shelling kept falling short into no-mans land.",,,,,,,"50.0227,2.83244",,
Battle of Le Transloy,1916-11-05,,The Battle of Le Transloy was the final offensive mounted by the British Fourth Army during the 1916 Battle of the Somme.,,,,,,,"50.0574,2.88772",,
Battle of Broodseinde,1917-10-04,,The Battle of Broodseinde was fought on 4 October 1917 in Flanders at the east end of the Gheluvelt plateau by the British Second and Fifth armies and the German Fourth Army. The battle was the most successful Allied attack of the Battle of Passchendaele.,,,,,,,"50.852,2.89069",,
Battle of Chra,1914-08-22,,The Battle of Chra was fought between combined British and French and German soldiers on the Chra River and in Chra village on 22 August 1914 during the Togoland Campaign of the First World War. Entrenched German forces were able to hold the Allied advance at this river for some time but eventually withdrew further inland to Kamina due to limited manpower.,,,,,,,"7.17067,1.15867",,
Battle of Agbeluvhoe,1914-08-15,,"The Battle of Agbeluvhoe (or Agbéluvhoé or Agbeluwoe), also known as the Battle of Tsewie, was fought during the First World War between invading British soldiers of the West African Rifles and German troops attempting to harass the advancing allies through the rail network in German Togoland on 15 August 1914. The plan failed, ending in an ambush and the Germans suffered heavy losses. Eventually after limited resistance from the Germans, the colony was surrendered on 26 August 1914.",,,,,,,"6.6595,1.16733",,
Battle of Albert (1916),1916-07-13,,"Battle of Albert (1916) Part of the Battle of the Somme (First World War) 300pxBritish, French and German positions during Battle of Albert Date 1–13 July 1916 Location Somme, Picardy, France Result German defensive victory in north and centre;limited Allied advance in south.",,,,,,,"49.993,2.712",,
Battle of Albert (1916),1916-07-13,,"Battle of Albert (1916) Part of the Battle of the Somme (First World War) 300pxBritish, French and German positions during Battle of Albert Date 1–13 July 1916 Location Somme, Picardy, France Result German defensive victory in north and centre;limited Allied advance in south.",,,,,,,"49.993,2.712",,
Battle of Gumbinnen,1914-08-20,,"The Battle of Gumbinnen, initiated by forces of the German Empire on August 20, 1914, was the first major German offensive on the Eastern Front during the First World War. Because of the hastiness of the German attack, however, the Russian army emerged victorious.",,,,,,,"54.6,22.2",,
First Battle of Garua,1914-08-31,,The First Battle of Garua took place from 29 to 31 August 1914 during the Kamerun Campaign of the First World War between German and invading British forces in northern Kamerun at Garua. It was the first significant action to take place in the campaign and resulted in the German repulsion of the British force.,,,,,,,"9.3,13.4",,
First Battle of Garua,1914-08-31,,The First Battle of Garua took place from 29 to 31 August 1914 during the Kamerun Campaign of the First World War between German and invading British forces in northern Kamerun at Garua. It was the first significant action to take place in the campaign and resulted in the German repulsion of the British force.,,,,,,,"9.3,13.4",,
Battle of Gurin,1915-04-29,,"The Battle of Gurin took place on 29 April 1915 during the Kamerun Campaign of World War I in Gurin, British Nigeria near the border with German Kamerun. The battle was one of the largest of the German forays into the British colony. It ended in a successful British repulsion of the German force.",,,,,,,"9.11489,12.8773",,
Battle of Messines (1917),1917-06-14,,"The Battle of Messines (7–14 June 1917) was an offensive conducted by the British Second Army, under the command of General Herbert Plumer, on the Western Front near the village of Messines in Belgian West Flanders during the First World War. The Nivelle offensive in April and May had failed to achieve its more ambitious aims and this had resulted in the demoralisation of French troops and the dislocation of the Anglo-French strategy for 1917.",,,,,,,"50.7644,2.8981",,
Battle of Ngaundere,1915-06-29,,The Battle of Ngaundere or Battle of Ngaoundéré was a small engagement fought between German and British forces on 29 July 1915 during the Kamerun campaign of World War I. It resulted in a German defeat and British occupation of the town.,,,,,,,"7.32167,13.585",,
Battle of Banjo,1915-11-06,,"During the Battle of Banjo or Battle of Banyo, British forces besieged German forces entrenched on the Banjo mountain from 4 to 6 November 1915 during the Kamerun campaign of the First World War. By 6 November much of the German force had deserted, while the rest surrendered. The battle resulted in victory for the Allies and breakdown of German resistance in northern Kamerun.",,,,,,,"6.775,11.8183",,
Battle of Nsanakong,1914-09-06,,"The Battle of Nsanakong or Battle of Nsanakang took place between defending British and attacking German forces during the Kamerun Campaign of the First World War. The town of Nsanakong had been occupied by the British on 30 August 1914. On 6 September, German forces attacked, driving the British force over the border back into Nigeria.",,,,,,,"5.87617,8.97467",,
Second Battle of Edea,1915-01-05,,"The Second Battle of Edea was the German counter-attack against French forces stationed in the village of Edea during the Kamerun Campaign of the First World War. Allied forces from Duala occupied the town following the First Battle of Edea in October 1914. The Germans, eager to retake the position attacked on 5 January 1915 but were repulsed by the French force.",,,,,,,"3.8,10.1333",,
Second Battle of Garua,1915-06-10,,"The Second Battle of Garua took place from 31 May to 10 June 1915 during the Kamerun campaign of the First World War in Garua, German Kamerun. The battle was between a combined French and British force and defending German garrison and resulted in an Allied victory.",,,,,,,"9.3,13.4",,
Battle of Jabassi,1914-10-07,,The Battle of Jabassi or Battle of Yabassi was a pair of assaults on German positions at Jabassi on the Wuri river during the Kamerun Campaign of World War I between German and British forces on 7 and 14 October 1914. The action resulted in British victory and their occupation of the station.,,,,,,,"4.45,9.96667",,
Battle of Tulkarm,1918-09-19,,"The Battle of Tulkarm took place on 19 September 1918, beginning of the Battle of Sharon, which along with the Battle of Nablus formed the set piece Battle of Megiddo fought between 19 and 25 September in the last months of the Sinai and Palestine Campaign of the First World War.",,,,,,,"32.3115,35.027",,
Second Battle of Jaunde,1915-10-09,,"The Second Battle of Jaunde involved the successful British and French assault on the German capital of Jaunde during the Kamerun Campaign of the First World War. After the failure of the First Battle of Jaunde during the summer of 1915, the bulk of Allied forces had retreated to the Kele river. Following the Second Duala Conference where Allied commanders discussed the situation, it was decided that another assault should be attempted.",,,,,,,"3.86667,11.5167",,
Siege of Mora,1914-08-26,,The Siege of Mora or Siege of Moraberg between Allied and besieged German troops from August 1914 to February 1916 on and around the Mora mountain in northern Kamerun during the Kamerun Campaign of the First World War. After more than a year of siege German forces on the mountain surrendered following the escape of many German troops to the neutral Spanish colony of Rio Muni.,,,,,,,"11.05,14.15",,
Battle of Tepe,1914-08-25,,"The Battle of Tepe (or Tebe) on 25 August 1914 was the first skirmish between German and British forces during the Kamerun Campaign in of the First World War. The conflict took place on the border between British Nigeria and German Kamerun, ending in British victory and German withdrawal from the station.",,,,,,,"9.34117,12.8732",,
